code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Duration
42.03.01	реклама и связи с общественностью	бакалавриат	https://abit.magtu.ru/42-03-01-reklama-i-svyazi-s-obschestvennostyu	заочная	0	30	4 года 11 месяцев
44.03.01	педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-01-pedagogicheskoe-obrazovanie	заочная	0	65	4 года 11 месяцев
44.03.01	педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-01-pedagogicheskoe-obrazovanie	очная	0	55	4 года
44.03.02	психолого-педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-02-psihologo-pedagogicheskoe-obrazovanie	заочная	0	40	4 года 11 месяцев
44.03.02	психолого-педагогическое образование	бакалавриат	https://abit.magtu.ru/44-03-02-psihologo-pedagogicheskoe-obrazovanie	очная	50	15	4 года
44.03.03	специальное (дефектологическое) образование	бакалавриат	https://abit.magtu.ru/44-03-03-specialnoe-defektologicheskoe-obrazovanie	заочная	0	45	4 года 11 месяцев
44.03.03	специальное (дефектологическое) образование	бакалавриат	https://abit.magtu.ru/44-03-03-specialnoe-defektologicheskoe-obrazovanie	очная	24	12	4 года
44.03.05	педагогическое образование (с двумя профилями)	бакалавриат	https://abit.magtu.ru/44-03-05-pedagogicheskoe-obrazovanie-s-dvumya-profilyami	очная	154	46	5 лет
44.04.01	педагогическое образование	магистратура	https://abit.magtu.ru/44-04-01-pedagogicheskoe-obrazovanie	заочная	0	57	2 года 4 месяца
44.04.01	педагогическое образование	магистратура	https://abit.magtu.ru/44-04-01-pedagogicheskoe-obrazovanie	очная	38	38	2 года
44.04.02	психолого-педагогическое образование	магистратура	https://abit.magtu.ru/44-04-02-psihologo-pedagogicheskoe-obrazovanie	заочная	0	100	2 года 4 месяца
44.04.02	психолого-педагогическое образование	магистратура	https://abit.magtu.ru/44-04-02-psihologo-pedagogicheskoe-obrazovanie	очная	22	10	2 года
44.04.03	специальное (дефектологическое) образование	магистратура	https://abit.magtu.ru/44-04-03-specialnoe-defektologicheskoe-obrazovanie	заочная	0	30	2 года 4 месяца
45.03.01	филология	бакалавриат	https://abit.magtu.ru/45-03-01-filologiya	заочная	0	13	4 года 11 месяцев
45.05.01	перевод и переводоведение	специалитет	https://abit.magtu.ru/45-05-01-perevod-i-perevodovedenie	очная	0	14	5 лет
46.03.02	документоведение и архивоведение	бакалавриат	https://abit.magtu.ru/46-03-02-dokumentovedenie-i-arhivovedenie	заочная	0	25	4 года 11 месяцев
46.04.01	история	магистратура	https://abit.magtu.ru/46.04.01-istoriya	заочная	0	15	2 года 4 месяца
49.03.01	физическая культура	бакалавриат	https://abit.magtu.ru/49-03-01-fizicheskaya-kultura	очная	20	5	4 года
54.03.01	дизайн	бакалавриат	https://abit.magtu.ru/54-03-01-dizayn	очно-заочная	0	25	4 года 11 месяцев
